Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,17.309999,17.480000,16.990000,17.000000,17.000000,555800
2016-05-26,16.969999,17.000000,16.690001,16.780001,16.780001,204900
2016-05-27,16.719999,17.299999,16.680000,17.059999,17.059999,197200
2016-05-31,17.129999,17.680000,17.040001,17.420000,17.420000,722700
2016-06-01,17.490000,17.580000,16.549999,16.709999,16.709999,375200
2016-06-02,16.709999,17.160000,16.629999,16.940001,16.940001,220300
2016-06-03,16.920000,16.940001,16.590000,16.700001,16.700001,221900
2016-06-06,16.740000,17.110001,16.570000,16.879999,16.879999,193500
2016-06-07,16.920000,17.010000,16.660000,16.870001,16.870001,168600
2016-06-08,16.940001,16.950001,16.650000,16.879999,16.879999,262000
2016-06-09,16.920000,17.049999,16.520000,16.540001,16.540001,312600
2016-06-10,16.520000,16.950001,16.280001,16.690001,16.690001,247400
2016-06-13,16.600000,17.100000,16.510000,16.620001,16.620001,193400
2016-06-14,16.520000,16.920000,15.860000,15.990000,15.990000,429500
2016-06-15,16.370001,16.450001,15.820000,16.270000,16.270000,327900
2016-06-16,16.100000,16.250000,15.650000,15.840000,15.840000,256200
2016-06-17,15.770000,15.970000,15.080000,15.290000,15.290000,578900
2016-06-20,15.510000,16.230000,15.490000,16.049999,16.049999,353500
2016-06-21,16.010000,16.120001,15.540000,15.870000,15.870000,261600
2016-06-22,15.990000,16.240000,15.860000,16.020000,16.020000,177900
2016-06-23,16.010000,16.180000,15.640000,15.890000,15.890000,252600
2016-06-24,15.210000,15.640000,14.720000,15.620000,15.620000,406600
