Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,37.730000,38.720001,37.400002,38.459999,38.459999,1002500
2016-05-26,38.869999,39.610001,38.099998,38.590000,38.590000,1157700
2016-05-27,38.220001,38.580002,37.500000,37.900002,37.900002,1091500
2016-05-31,38.169998,39.270000,37.939999,38.500000,38.500000,987900
2016-06-01,37.770000,38.549999,37.119999,38.470001,38.470001,1446200
2016-06-02,37.799999,38.709999,37.349998,38.630001,38.630001,1104300
2016-06-03,38.630001,39.220001,37.470001,37.860001,37.860001,853200
2016-06-06,38.610001,38.790001,37.790001,38.630001,38.630001,1295100
2016-06-07,39.549999,40.849998,39.000000,40.580002,40.580002,1460000
2016-06-08,41.200001,42.490002,40.500000,40.680000,40.680000,1624800
2016-06-09,39.880001,40.570000,39.380001,40.020000,40.020000,887600
2016-06-10,39.189999,40.029999,37.740002,37.740002,37.740002,1319000
2016-06-13,37.150002,38.860001,36.700001,38.320000,38.320000,1049700
2016-06-14,38.090000,39.250000,37.630001,39.060001,39.060001,1150400
2016-06-15,38.410000,39.439999,37.680000,38.689999,38.689999,1153400
2016-06-16,37.950001,37.959999,35.900002,36.869999,36.869999,1561600
2016-06-17,37.349998,40.349998,37.349998,39.669998,39.669998,2220300
2016-06-20,40.660000,41.209999,40.049999,40.240002,40.240002,1013500
2016-06-21,40.009998,41.200001,39.459999,40.939999,40.939999,939500
2016-06-22,41.330002,41.330002,39.680000,40.439999,40.439999,1258700
2016-06-23,41.090000,41.400002,40.400002,40.959999,40.959999,725800
2016-06-24,38.730000,39.549999,37.060001,37.389999,37.389999,3413600
