Stocks
A~41792~58.250007
A~41821~56.070005
A~41852~58.069999
A~41884~56.200006
A~41913~40.84
A~41946~41.59
A~41974~40.560001
A~42006~38.689999
A~42037~42.700001
A~42065~41.389999
A~42095~41.830002
A~42125~40.919998
A~42156~39.259998
A~42186~41
A~42219~34.75
A~42248~33.740002
A~42278~38.59
A~42310~41.060001
A~42339~40.689999
A~42373~37.689999
A~42401~38.59
A~42430~40.310001
A~42461~41.709999
A~42492~45.950001
A~42522~44.599998
A~42552~47.869999
A~42583~46.990002
A~42614~47.139999
A~42646~43.490002
A~42675~43.209999
A~42705~46.490002
A~42738~49.259998
A~42767~52.040001
A~42795~53.2
A~42828~55.8
A~42856~60.73
A~42887~59.13
A~42919~59.94
A~42948~64.38
A~42979~64.87
A~43010~68.02
A~43040~68.69
A~43070~67.6
A~43102~72.83
A~43132~13.83
AA~41792~14.8
AA~41821~16.440001
AA~41852~16.67
AA~41884~15.7
AA~41913~16.93
AA~41946~17.139999
AA~41974~15.88
AA~42006~16.07
AA~42037~14.95
AA~42065~13
AA~42095~14.15
AA~42125~12.42
AA~42156~11.07
AA~42186~9.64
AA~42219~9.22
AA~42248~9.26
AA~42278~9.17
AA~42310~9.48
AA~42339~9.71
AA~42373~7.21
AA~42401~9.11
AA~42430~9.63
AA~42461~10.96
AA~42492~9.3
AA~42522~9.55
AA~42552~10.47
AA~42583~10.129989
AA~42614~10.11999
AA~42646~23
AA~42675~28.879999
AA~42705~28.83
AA~42738~36.259998
AA~42767~37.990002
AA~42795~34.22
AA~42828~33.28
AA~42856~32.94
AA~42887~34.02
AA~42919~36.38
AA~42948~45.04
AA~42979~47.65
AA~43010~47.7
AA~43040~41.64
AA~43070~55.17
AA~43102~52.42
AA~43132~65.150002
AAAP~43010~81.03
AAAP~43040~81.34
AAAP~43070~81.83
AAAP~43102~81
AAAP~43132~50.650002
AABA~42887~54.45
AABA~42919~58.5
AABA~42948~64.05
AABA~42979~66.51
AABA~43010~70.59
AABA~43040~70.1
AABA~43070~73.13
AABA~43102~76.01
AABA~43132~39.040001
AAC~42156~42.939999
AAC~42186~32.790001
AAC~42219~22.120001
AAC~42248~22.59
AAC~42278~22.33
AAC~42310~24.719999
AAC~42339~18.52
AAC~42373~18.65
AAC~42401~20.34
AAC~42430~20.370001
AAC~42461~20.059999
AAC~42492~22.209999
AAC~42522~22.74
AAC~42552~21.5
AAC~42583~19.26
AAC~42614~17.610001
AAC~42646~16.280001
AAC~42675~8.52
AAC~42705~7.72
AAC~42738~8.01
AAC~42767~8.91
AAC~42795~8.52
AAC~42828~7.12
AAC~42856~6.46
AAC~42887~7.01
AAC~42919~6.47
AAC~42948~9.8
AAC~42979~9.99
AAC~43010~7.55
AAC~43040~8.97
AAC~43070~9.27
AAC~43102~8.64
AAC~43132~41.220001
AAL~41792~43.860001
AAL~41821~39.43
AAL~41852~40.5
AAL~41884~34.389999
AAL~41913~42
AAL~41946~47.880001
AAL~41974~53.91
AAL~42006~48.720001
AAL~42037~48.310001
AAL~42065~50.439999
AAL~42095~49.389999
AAL~42125~44.18
AAL~42156~38.799999
AAL~42186~41.709999
AAL~42219~39.200001
AAL~42248~39.200001
AAL~42278~46.470001
AAL~42310~43.259998
AAL~42339~40.91
AAL~42373~39.380001
AAL~42401~41.830002
AAL~42430~39.52
AAL~42461~34.43
AAL~42492~31.950001
AAL~42522~29.33
AAL~42552~35.599998
AAL~42583~36.240002
AAL~42614~37.700001
AAL~42646~39.799999
AAL~42675~45.75
AAL~42705~46.299999
AAL~42738~44.049999
AAL~42767~47.09
AAL~42795~42.48
AAL~42828~42.08
AAL~42856~49.05
AAL~42887~50.39
AAL~42919~51.06
AAL~42948~45.325
AAL~42979~47.73
AAL~43010~47.84
AAL~43040~49.01
AAL~43070~52.99
AAL~43102~53.88
AAL~43132~32.98
AAN~41792~35.900002
AAN~41821~26.4
AAN~41852~25.43
AAN~41884~23.530001
AAN~41913~25.030001
AAN~41946~28.35
AAN~41974~30.620001
AAN~42006~31.93
AAN~42037~29.73
AAN~42065~27.52
AAN~42095~34.669998
AAN~42125~34.049999
AAN~42156~36.139999
AAN~42186~36.959999
AAN~42219~36.709999
AAN~42248~36.32
AAN~42278~25.389999
AAN~42310~24.5
AAN~42339~22.68
AAN~42373~22.65
AAN~42401~23.379999
AAN~42430~25.35
AAN~42461~26.49
AAN~42492~25.1
AAN~42522~22.379999
AAN~42552~24.1
AAN~42583~24.469999
AAN~42614~24.950001
AAN~42646~25.17
AAN~42675~29.370001
AAN~42705~31.9
AAN~42738~30.799999
AAN~42767~27.74
AAN~42795~29.25
AAN~42828~36.74
AAN~42856~38.11
AAN~42887~38.95
AAN~42919~45.98
AAN~42948~44.5
AAN~42979~43.81
AAN~43010~35.93
AAN~43040~39.19
AAN~43070~39.47
AAN~43102~40.68
AAN~43132~20.5
AAOI~41792~23.34
AAOI~41821~18.120001
AAOI~41852~20.51
AAOI~41884~15.21
AAOI~41913~16.200001
