Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,38.799999,38.939999,38.250000,38.369999,38.369999,313900
2016-05-26,38.540001,39.000000,38.090000,38.230000,38.230000,246500
2016-05-27,38.349998,38.490002,38.150002,38.459999,38.459999,301300
2016-05-31,38.470001,38.779999,38.250000,38.500000,38.500000,566200
2016-06-01,38.500000,38.799999,38.169998,38.490002,38.490002,515600
2016-06-02,38.070000,38.669998,37.980000,38.470001,38.470001,249500
2016-06-03,38.250000,38.480000,38.080002,38.220001,38.220001,253900
2016-06-06,38.200001,38.419998,37.900002,38.279999,38.279999,280100
2016-06-07,38.160000,38.480000,38.099998,38.369999,38.369999,332000
2016-06-08,38.439999,38.490002,38.259998,38.299999,38.299999,327000
2016-06-09,38.189999,38.369999,37.919998,38.099998,38.099998,205400
2016-06-10,37.880001,38.049999,37.520000,37.619999,37.619999,251000
2016-06-13,37.160000,37.709999,37.070000,37.169998,37.169998,283400
2016-06-14,37.130001,37.430000,36.889999,37.000000,37.000000,299900
2016-06-15,37.180000,37.500000,37.020000,37.119999,37.119999,297200
2016-06-16,36.959999,36.959999,36.400002,36.750000,36.750000,380500
2016-06-17,36.880001,37.250000,36.810001,36.939999,36.939999,437400
2016-06-20,37.369999,37.480000,36.700001,36.720001,36.720001,278100
2016-06-21,36.900002,37.029999,36.400002,36.650002,36.650002,293200
2016-06-22,36.639999,36.869999,36.110001,36.169998,36.169998,347500
2016-06-23,36.580002,36.869999,36.320000,36.360001,36.360001,282700
2016-06-24,35.250000,35.759998,35.130001,35.549999,35.549999,993200
