Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,81.309998,83.500000,80.639999,83.160004,83.160004,1314700
2016-05-26,82.629997,83.019997,81.050003,81.779999,81.779999,1382700
2016-05-27,81.690002,85.680000,80.949997,84.529999,84.529999,1210400
2016-05-31,84.989998,86.199997,83.839996,84.410004,84.410004,1253600
2016-06-01,83.919998,86.190002,82.339996,85.180000,85.180000,1018900
2016-06-02,85.169998,87.879997,84.900002,87.709999,87.709999,1188200
2016-06-03,87.440002,87.480003,84.430000,84.959999,84.959999,1226500
2016-06-06,84.849998,86.000000,82.519997,85.489998,85.489998,1087100
2016-06-07,85.500000,86.220001,82.199997,82.440002,82.440002,1027900
2016-06-08,82.910004,83.639999,81.550003,82.900002,82.900002,938700
2016-06-09,83.589996,83.870003,81.580002,81.610001,81.610001,871400
2016-06-10,80.639999,81.430000,78.349998,80.410004,80.410004,1040300
2016-06-13,80.080002,82.470001,79.480003,80.010002,80.010002,959200
2016-06-14,80.150002,80.870003,78.559998,79.779999,79.779999,680800
2016-06-15,80.300003,80.889999,79.279999,79.449997,79.449997,674700
2016-06-16,78.779999,80.260002,78.370003,80.000000,80.000000,770100
2016-06-17,80.180000,81.550003,76.919998,77.110001,77.110001,1489500
2016-06-20,77.820000,79.980003,77.500000,78.489998,78.489998,925000
2016-06-21,78.839996,79.400002,76.040001,77.599998,77.599998,1301200
2016-06-22,77.519997,79.849998,75.500000,78.500000,78.500000,1202300
2016-06-23,79.300003,81.790001,78.120003,81.660004,81.660004,1098400
2016-06-24,76.839996,80.889999,76.410004,76.980003,76.980003,2384300
