Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,37.040001,37.099998,36.419998,36.580002,36.580002,790000
2016-05-26,37.400002,38.930000,36.919998,38.490002,38.490002,720500
2016-05-27,38.490002,39.130001,38.270000,38.549999,38.549999,361600
2016-05-31,39.049999,39.700001,38.520000,39.119999,39.119999,1042000
2016-06-01,41.959999,43.430000,38.150002,39.389999,39.389999,1600100
2016-06-02,39.220001,40.790001,39.070000,40.770000,40.770000,675600
2016-06-03,40.459999,42.330002,40.459999,42.060001,42.060001,735400
2016-06-06,43.840000,43.840000,41.900002,42.349998,42.349998,574400
2016-06-07,42.000000,43.240002,41.820000,42.910000,42.910000,441200
2016-06-08,43.000000,44.029999,42.419998,43.910000,43.910000,458400
2016-06-09,43.910000,43.939999,42.910000,43.139999,43.139999,520900
2016-06-10,42.830002,43.119999,41.900002,42.540001,42.540001,546400
2016-06-13,42.160000,43.099998,42.080002,42.419998,42.419998,389100
2016-06-14,42.549999,42.730000,41.110001,41.730000,41.730000,334900
2016-06-15,42.029999,44.799999,41.680000,44.330002,44.330002,561900
2016-06-16,43.849998,44.270000,42.939999,44.009998,44.009998,511100
2016-06-17,44.139999,44.430000,43.450001,44.209999,44.209999,507500
2016-06-20,44.480000,45.889999,44.369999,44.450001,44.450001,357200
2016-06-21,44.900002,45.009998,43.830002,44.150002,44.150002,356800
2016-06-22,44.270000,44.599998,43.250000,43.410000,43.410000,422700
2016-06-23,43.959999,45.279999,43.470001,45.230000,45.230000,535300
2016-06-24,43.090000,44.849998,42.520000,44.040001,44.040001,1078800
