Date,Open,High,Low,Close,Adj Close,Volume
2016-05-25,24.590000,25.080000,22.260000,25.059999,25.059999,249100
2016-05-26,25.200001,25.200001,24.740000,25.150000,25.150000,171800
2016-05-27,25.230000,25.559999,24.655001,25.559999,25.559999,188400
2016-05-31,25.730000,25.889999,25.330000,25.809999,25.809999,318100
2016-06-01,25.709999,26.430000,25.520000,26.370001,26.370001,288400
2016-06-02,26.400000,27.160000,26.309999,27.070000,27.070000,251900
2016-06-03,26.990000,27.480000,26.330000,26.660000,26.660000,441200
2016-06-06,26.809999,27.080000,26.712000,27.000000,27.000000,358600
2016-06-07,26.930000,27.790001,26.915001,27.610001,27.610001,445600
2016-06-08,29.500000,30.400000,29.000000,29.120001,29.120001,1240900
2016-06-09,28.820000,29.209999,28.040001,28.200001,28.200001,449500
2016-06-10,28.000000,29.393000,27.180000,29.000000,29.000000,421900
2016-06-13,28.680000,29.160000,28.520000,28.969999,28.969999,327400
2016-06-14,28.959999,29.190001,28.799999,29.110001,29.110001,295300
2016-06-15,29.100000,29.440001,28.850000,29.100000,29.100000,525800
2016-06-16,28.730000,29.230000,27.520000,29.139999,29.139999,290700
2016-06-17,29.180000,29.440001,28.879999,29.080000,29.080000,743000
2016-06-20,29.440001,29.740000,29.030001,29.629999,29.629999,305400
2016-06-21,29.690001,29.690001,28.850000,29.219999,29.219999,341400
2016-06-22,29.190001,29.750000,28.530001,28.660000,28.660000,321900
2016-06-23,28.990000,29.330000,28.620001,29.180000,29.180000,310900
2016-06-24,27.870001,28.680000,27.134001,28.510000,28.510000,1350000
